,Clone Group ID,Source Folder,Package,Class,Method,Method Signature,Start Line,End Line,Start Offset,End Offset,#PDG Nodes,#Statements,Line Coverage (%),Clone Group Size,Clone Group Info,Connected,Clone Pair Location,#Refactorable Pairs,Details
4145,9285,tests,org.jfree.chart.renderer.junit,LookupPaintScaleTests,testCloning,()V,129,134,4104,4370,,,,,,,,,
4181,9438,tests,org.jfree.chart.junit,JFreeChartTests,testLegendEvents,()V,533,539,17548,17866,,,,2.0,,,Clones are within the same file,,
4182,9438,tests,org.jfree.chart.junit,JFreeChartTests,testTitleChangeEvent,()V,547,553,18075,18376,,,,,,,,,
4190,9497,tests,org.jfree.data.time.junit,TimePeriodValuesTests,setUp,()V,110,126,3452,4139,,,,2.0,,,Clones are within the same method,,
4191,9497,tests,org.jfree.data.time.junit,TimePeriodValuesTests,setUp,()V,120,136,3841,4528,,,,,,,,,
4192,9498,tests,org.jfree.data.time.junit,TimeSeriesTests,setUp,()V,131,147,4427,5120,,,,2.0,,,Clones are within the same method,,
4193,9498,tests,org.jfree.data.time.junit,TimeSeriesTests,setUp,()V,121,137,4032,4725,,,,,,,,,
4194,9539,tests,org.jfree.chart.block.junit,GridArrangementTests,testEquals,()V,88,103,2766,3291,,,,2.0,,,Clones are in different files,,
4195,9539,tests,org.jfree.data.time.junit,WeekTests,testEquals,()V,120,135,3476,3932,,,,,,,,,
4247,9620,tests,org.jfree.chart.plot.junit,SpiderWebPlotTests,testDrawWithNullInfo,()V,356,369,12049,12518,,,,2.0,,,Clones are in different files,,
4248,9620,tests,org.jfree.chart.junit,PieChart3DTests,testNullValueInDataset,()V,120,133,3832,4311,,,,,,,,,
4280,9680,tests,org.jfree.data.time.junit,TimeSeriesDataItemTests,testEquals,()V,103,110,2915,3205,,,,2.0,,,Clones are in different files,,
4281,9680,tests,org.jfree.data.time.junit,TimePeriodValueTests,testEquals,()V,99,102,2809,3039,,,,,,,,,
4300,9714,tests,org.jfree.data.statistics.junit,BoxAndWhiskerCalculatorTests,testCalculateQ3,()V,139,165,4478,5434,,,,2.0,,,Clones are within the same file,,
4301,9714,tests,org.jfree.data.statistics.junit,BoxAndWhiskerCalculatorTests,testCalculateQ1,()V,107,134,3442,4415,,,,,,,,,
4310,9755,tests,org.jfree.chart.junit,PaintMapTests,testGetPaint,()V,90,101,2703,3029,,,,2.0,,,Clones are in different files,,
4311,9755,tests,org.jfree.chart.junit,StrokeMapTests,testGetStroke,()V,88,99,2658,2986,,,,,,,,,
4325,9776,tests,org.jfree.data.gantt.junit,TaskSeriesCollectionTests,testGetEndValue3,()V,363,370,13687,14019,,,,2.0,Subclone,6444.0,Clones are within the same file,,
4326,9776,tests,org.jfree.data.gantt.junit,TaskSeriesCollectionTests,testGetStartValue3,()V,298,305,10786,11122,,,,,,,,,
4377,9953,tests,org.jfree.data.time.junit,TimeSeriesTests,testEquals,()V,347,357,10708,11024,,,,2.0,,,Clones are in different files,,
4378,9953,tests,org.jfree.data.time.junit,TimePeriodValuesTests,testEquals,()V,267,277,8340,8656,,,,,,,,,
4382,9960,tests,org.jfree.chart.renderer.category.junit,BoxAndWhiskerRendererTests,testBug1572478Horizontal,()V,290,306,9777,10311,,,,2.0,,,Clones are within the same file,,
4383,9960,tests,org.jfree.chart.renderer.category.junit,BoxAndWhiskerRendererTests,testBug1572478Vertical,()V,247,263,8346,8880,,,,,,,,,
4384,9969,tests,org.jfree.chart.plot.junit,CategoryPlotTests,testGetDomainAxisIndex,()V,837,849,31177,31679,,,,2.0,,,Clones are within the same file,,
4385,9969,tests,org.jfree.chart.plot.junit,CategoryPlotTests,testGetRangeAxisIndex,()V,861,873,32075,32565,,,,,,,,,
4461,10045,tests,org.jfree.data.junit,DefaultKeyedValues2DTests,testGetColumnKey,()V,284,296,9002,9437,,,,2.0,,,Clones are within the same file,,
4462,10045,tests,org.jfree.data.junit,DefaultKeyedValues2DTests,testGetRowKey,()V,257,269,8134,8560,,,,,,,,,
4484,10085,tests,org.jfree.data.time.junit,TimePeriodValueTests,testSerialization,()V,108,130,3141,3841,,,,2.0,,,Clones are in different files,,
4485,10085,tests,org.jfree.data.time.junit,TimeSeriesDataItemTests,testSerialization,()V,121,145,3479,4218,,,,,,,,,
4511,10172,tests,org.jfree.data.time.junit,TimeSeriesTests,testRemoveAgedItems2,()V,759,766,25534,25818,,,,2.0,,,Clones are within the same file,,
4512,10172,tests,org.jfree.data.time.junit,TimeSeriesTests,testRemoveAgedItems,()V,721,728,24015,24299,,,,,,,,,
4611,10388,tests,org.jfree.data.statistics.junit,DefaultBoxAndWhiskerCategoryDatasetTests,testAdd,()V,197,218,7257,8399,,,,2.0,,,Clones are within the same file,,
4612,10388,tests,org.jfree.data.statistics.junit,DefaultBoxAndWhiskerCategoryDatasetTests,testAddUpdatesCachedRange,()V,232,253,8860,9995,,,,,,,,,
4613,10391,tests,org.jfree.chart.axis.junit,LogarithmicAxisTests,checkLogPowRoundTrip,(D)V,163,168,4794,5107,,,,2.0,,,Clones are within the same file,,
4614,10391,tests,org.jfree.chart.axis.junit,LogarithmicAxisTests,checkSwitchedLogPowRoundTrip,(D)V,190,195,5884,6210,,,,,,,,,
4625,10512,tests,org.jfree.chart.renderer.xy.junit,XYLineAndShapeRendererTests,testFindDomainBounds,()V,281,295,8980,9678,,,,2.0,,,Clones are within the same file,,
4626,10512,tests,org.jfree.chart.renderer.xy.junit,XYLineAndShapeRendererTests,testFindRangeBounds,()V,300,314,9782,10466,,,,,,,,,
4656,10615,tests,org.jfree.data.xy.junit,DefaultIntervalXYDatasetTests,testGetXValue,()V,144,152,4255,4676,,,,2.0,Subclone,10619.0,Clones are within the same file,,
4657,10615,tests,org.jfree.data.xy.junit,DefaultIntervalXYDatasetTests,testGetEndYValue,()V,209,217,6858,7306,,,,,,,,,
4674,10638,tests,org.jfree.chart.axis.junit,CategoryLabelPositionTests,testEquals,()V,145,167,5232,6185,,,,2.0,,,Clones are within the same method,,
4675,10638,tests,org.jfree.chart.axis.junit,CategoryLabelPositionTests,testEquals,()V,123,145,4316,5257,,,,,,,,,
4686,10647,tests,org.jfree.chart.renderer.category.junit,StatisticalBarRendererTests,testDrawWithNullDeviationVertical,()V,262,268,8947,9341,,,,2.0,,,Clones are within the same file,,
4687,10647,tests,org.jfree.chart.renderer.category.junit,StatisticalBarRendererTests,testDrawWithNullDeviationHorizontal,()V,289,295,10005,10399,,,,,,,,,
4760,10948,tests,org.jfree.chart.axis.junit,PeriodAxisTests,testEquals,()V,140,153,4413,4880,,,,2.0,,,Clones are within the same file,,
4761,10948,tests,org.jfree.chart.axis.junit,PeriodAxisTests,testCloning,()V,222,234,7085,7514,,,,,,,,,
4773,10970,tests,org.jfree.chart.entity.junit,StandardEntityCollectionTests,testEquals,()V,88,92,2877,3097,,,,2.0,,,Clones are within the same method,,
4774,10970,tests,org.jfree.chart.entity.junit,StandardEntityCollectionTests,testEquals,()V,94,97,3127,3339,,,,,,,,,
4780,11023,tests,org.jfree.chart.axis.junit,MarkerAxisBandTests,testEquals,()V,92,102,2931,3377,,,,2.0,Subclone,11024.0,Clones are within the same method,,
4781,11023,tests,org.jfree.chart.axis.junit,MarkerAxisBandTests,testEquals,()V,102,112,3355,3785,,,,,,,,,
4782,11024,tests,org.jfree.chart.axis.junit,MarkerAxisBandTests,testEquals,()V,92,107,2931,3581,,,,2.0,,,Clones are within the same method,,
4783,11024,tests,org.jfree.chart.axis.junit,MarkerAxisBandTests,testEquals,()V,97,112,3143,3785,,,,,,,,,
4796,11056,tests,org.jfree.chart.plot.junit,CombinedRangeXYPlotTests,createPlot,()QCombinedRangeXYPlot;,286,299,9105,9722,,,,2.0,,,Clones are in different files,,
4797,11056,tests,org.jfree.chart.plot.junit,CombinedDomainXYPlotTests,createPlot,()QCombinedDomainXYPlot;,294,307,9385,10009,,,,,,,,,
4811,11102,tests,org.jfree.data.xy.junit,MatrixSeriesTests,testEquals,()V,93,98,2820,2987,,,,2.0,Subclone,11103.0,Clones are within the same method,,
4812,11102,tests,org.jfree.data.xy.junit,MatrixSeriesTests,testEquals,()V,103,108,3154,3323,,,,,,,,,
4813,11103,tests,org.jfree.data.xy.junit,MatrixSeriesTests,testEquals,()V,98,108,2986,3323,,,,2.0,,,Clones are within the same method,,
4814,11103,tests,org.jfree.data.xy.junit,MatrixSeriesTests,testEquals,()V,93,103,2820,3155,,,,,,,,,
4843,11197,tests,org.jfree.data.junit,KeyedObjects2DTests,testGetValueByKey,()V,224,249,6655,7208,,,,2.0,,,Clones are within the same method,,
4844,11197,tests,org.jfree.data.junit,KeyedObjects2DTests,testGetValueByKey,()V,215,240,6459,7020,,,,,,,,,
4845,11205,tests,org.jfree.chart.junit,JFreeChartTests,testAddSubtitle,()V,489,501,16338,16634,,,,2.0,,,Clones are within the same method,,
4846,11205,tests,org.jfree.chart.junit,JFreeChartTests,testAddSubtitle,()V,498,510,16538,16837,,,,,,,,,
4859,11229,tests,org.jfree.data.xy.junit,XYIntervalSeriesTests,testIndexOf2,()V,197,200,6055,6260,,,,2.0,,,Clones are within the same file,,
4860,11229,tests,org.jfree.data.xy.junit,XYIntervalSeriesTests,testAdd,()V,247,250,7925,8154,,,,,,,,,
4940,11480,tests,org.jfree.chart.plot.junit,CategoryPlotTests,testSerialization4,()V,641,654,23599,24127,,,,2.0,,,Clones are in different files,,
4941,11480,tests,org.jfree.chart.plot.junit,XYPlotTests,testSerialization4,()V,687,700,24650,25161,,,,,,,,,
4944,11490,tests,org.jfree.chart.plot.junit,XYPlotTests,test1654215,()V,950,968,35005,35750,,,,2.0,Subclone,665.0,Clones are in different files,,
4945,11490,tests,org.jfree.chart.plot.junit,CategoryPlotTests,test1654215,()V,807,825,30022,30774,,,,,,,,,
4981,11681,tests,org.jfree.data.statistics.junit,SimpleHistogramBinTests,testEquals,()V,147,152,5052,5255,,,,2.0,Subclone,11683.0,Clones are within the same method,,
4982,11681,tests,org.jfree.data.statistics.junit,SimpleHistogramBinTests,testEquals,()V,132,137,4472,4671,,,,,,,,,
4983,11682,tests,org.jfree.data.statistics.junit,SimpleHistogramBinTests,testEquals,()V,132,142,4472,4861,,,,2.0,,,Clones are within the same method,,
4984,11682,tests,org.jfree.data.statistics.junit,SimpleHistogramBinTests,testEquals,()V,142,152,4860,5255,,,,,,,,,
4985,11683,tests,org.jfree.data.statistics.junit,SimpleHistogramBinTests,testEquals,()V,132,147,4472,5053,,,,2.0,,,Clones are within the same method,,
4986,11683,tests,org.jfree.data.statistics.junit,SimpleHistogramBinTests,testEquals,()V,137,152,4670,5255,,,,,,,,,
5085,11918,tests,org.jfree.chart.junit,JFreeChartTests,testGetSubtitle,()V,268,284,9228,9599,,,,2.0,,,Clones are within the same method,,
5086,11918,tests,org.jfree.chart.junit,JFreeChartTests,testGetSubtitle,()V,259,275,9028,9408,,,,,,,,,
5093,11994,tests,org.jfree.data.statistics.junit,StatisticsTests,testCalculateMedian,()V,210,226,7293,7685,,,,2.0,,,Clones are within the same method,,
5094,11994,tests,org.jfree.data.statistics.junit,StatisticsTests,testCalculateMedian,()V,231,247,7807,8195,,,,,,,,,
5128,12106,tests,org.jfree.data.xy.junit,MatrixSeriesTests,testGetItemColumn,()V,161,169,4829,5187,,,,2.0,,,Clones are within the same file,,
5129,12106,tests,org.jfree.data.xy.junit,MatrixSeriesTests,testGetItemRow,()V,174,182,5255,5592,,,,,,,,,
5172,12195,tests,org.jfree.chart.block.junit,ColorBlockTests,testCloning,()V,115,132,3654,4207,,,,2.0,,,Clones are in different files,,
5173,12195,tests,org.jfree.chart.block.junit,AbstractBlockTests,testCloning,()V,145,161,4600,5124,,,,,,,,,
5222,12323,tests,org.jfree.chart.plot.junit,CategoryPlotTests,test1654215,()V,810,825,30181,30774,,,,2.0,Subclone,665.0,Clones are in different files,,
5223,12323,tests,org.jfree.chart.plot.junit,XYPlotTests,test1654215,()V,953,968,35166,35750,,,,,,,,,
5224,12330,tests,org.jfree.chart.axis.junit,LogarithmicAxisTests,testValueToJava2D,()V,224,243,7080,7804,,,,2.0,,,Clones are within the same file,,
5225,12330,tests,org.jfree.chart.axis.junit,LogarithmicAxisTests,testJava2DToValue,()V,200,219,6285,7005,,,,,,,,,
5226,12365,tests,org.jfree.data.time.junit,DayTests,testHashcode,()V,263,270,7814,8045,,,,2.0,,,Clones are in different files,,
5227,12365,tests,org.jfree.chart.axis.junit,SegmentedTimelineTests,testHashCode,()V,1030,1037,40735,41022,,,,,,,,,
5237,12398,tests,org.jfree.chart.axis.junit,MarkerAxisBandTests,testHashCode,()V,122,126,4114,4344,,,,2.0,,,Clones are within the same file,,
5238,12398,tests,org.jfree.chart.axis.junit,MarkerAxisBandTests,testEquals,()V,86,90,2672,2903,,,,,,,,,
5381,12796,tests,org.jfree.data.gantt.junit,TaskSeriesTests,testGetTask,()V,164,167,5103,5249,,,,2.0,,,Clones are within the same method,,
5382,12796,tests,org.jfree.data.gantt.junit,TaskSeriesTests,testGetTask,()V,166,169,5208,5356,,,,,,,,,
5399,12876,tests,org.jfree.data.time.junit,TimePeriodValuesCollectionTests,test1161340,()V,102,105,3262,3402,,,,2.0,,,Clones are within the same method,,
5400,12876,tests,org.jfree.data.time.junit,TimePeriodValuesCollectionTests,test1161340,()V,110,113,3582,3720,,,,,,,,,
5404,12919,tests,org.jfree.chart.axis.junit,DateTickTests,testEquals,()V,105,112,3298,3542,,,,2.0,,,Clones are within the same method,,
5405,12919,tests,org.jfree.chart.axis.junit,DateTickTests,testEquals,()V,110,117,3490,3734,,,,,,,,,
5434,13008,tests,org.jfree.data.gantt.junit,TaskSeriesCollectionTests,test800324,()V,588,601,21633,22008,,,,2.0,,,Clones are within the same method,,
5435,13008,tests,org.jfree.data.gantt.junit,TaskSeriesCollectionTests,test800324,()V,581,594,21440,21812,,,,,,,,,
5579,13518,tests,org.jfree.chart.axis.junit,DateTickTests,testEquals,()V,91,95,2723,2931,,,,2.0,,,Clones are within the same file,,
5580,13518,tests,org.jfree.chart.axis.junit,DateTickTests,testHashCode,()V,130,134,4129,4330,,,,,,,,,
5585,13574,tests,org.jfree.chart.axis.junit,DateAxisTests,testPreviousStandardDateMillisecondB,()V,1099,1136,39560,40997,,,,2.0,,,Clones are within the same file,,
5586,13574,tests,org.jfree.chart.axis.junit,DateAxisTests,testPreviousStandardDateMillisecondA,()V,1056,1093,37944,39380,,,,,,,,,
5644,13767,tests,org.jfree.data.junit,KeyedObjects2DTests,testGetValueByIndex,()V,165,181,5167,5542,,,,2.0,Subclone,13768.0,Clones are within the same method,,
5645,13767,tests,org.jfree.data.junit,KeyedObjects2DTests,testGetValueByIndex,()V,183,199,5553,5918,,,,,,,,,
5646,13768,tests,org.jfree.data.junit,KeyedObjects2DTests,testGetValueByIndex,()V,165,190,5167,5730,,,,2.0,,,Clones are within the same method,,
5647,13768,tests,org.jfree.data.junit,KeyedObjects2DTests,testGetValueByIndex,()V,174,199,5364,5918,,,,,,,,,
5750,13991,tests,org.jfree.chart.junit,LegendItemTests,testEquals,()V,203,268,9003,12811,,,,2.0,,,Clones are within the same method,,
5751,13991,tests,org.jfree.chart.junit,LegendItemTests,testEquals,()V,112,177,3785,7522,,,,,,,,,
5752,14017,tests,org.jfree.chart.plot.junit,CategoryPlotTests,testCloning3,()V,522,527,19658,19992,,,,2.0,,,Clones are within the same method,,
5753,14017,tests,org.jfree.chart.plot.junit,CategoryPlotTests,testCloning3,()V,516,521,19289,19624,,,,,,,,,
5776,14102,tests,org.jfree.chart.junit,LegendItemCollectionTests,testEquals,()V,95,107,2942,3651,,,,2.0,,,Clones are in different files,,
5777,14102,tests,org.jfree.chart.junit,LegendItemTests,testEquals,()V,97,109,2994,3711,,,,,,,,,
5966,14376,tests,org.jfree.chart.renderer.category.junit,LineRenderer3DTests,checkIndependence,(QLineRenderer3D;QLineRenderer3D;)Z,163,222,4804,6339,,,,2.0,,,Clones are in different files,,
5967,14376,tests,org.jfree.chart.renderer.category.junit,LineAndShapeRendererTests,checkIndependence,(QLineAndShapeRenderer;QLineAndShapeRenderer;)Z,217,276,6637,8172,,,,,,,,,
6365,15203,tests,org.jfree.chart.axis.junit,QuarterDateFormatTests,testHashCode,()V,118,122,4085,4384,,,,2.0,,,Clones are within the same file,,
6366,15203,tests,org.jfree.chart.axis.junit,QuarterDateFormatTests,testEquals,()V,85,89,2639,2938,,,,,,,,,
6373,15256,tests,org.jfree.chart.axis.junit,QuarterDateFormatTests,testEquals,()V,92,99,2994,3340,,,,2.0,,,Clones are within the same method,,
6374,15256,tests,org.jfree.chart.axis.junit,QuarterDateFormatTests,testEquals,()V,99,106,3314,3652,,,,,,,,,
6702,15511,tests,org.jfree.data.statistics.junit,StatisticsTests,testCalculateMean_Array,()V,118,124,3757,4178,,,,2.0,,,Clones are within the same method,,
6703,15511,tests,org.jfree.data.statistics.junit,StatisticsTests,testCalculateMean_Array,()V,112,118,3420,3824,,,,,,,,,
7208,16161,tests,org.jfree.chart.annotations.junit,XYPolygonAnnotationTests,testEquals,()V,107,116,3700,4159,,,,2.0,,,Clones are within the same method,,
7209,16161,tests,org.jfree.chart.annotations.junit,XYPolygonAnnotationTests,testEquals,()V,118,127,4258,4709,,,,,,,,,
8032,17732,tests,org.jfree.chart.annotations.junit,XYPolygonAnnotationTests,testEquals,()V,125,130,4587,4864,,,,2.0,,,Clones are within the same method,,
8033,17732,tests,org.jfree.chart.annotations.junit,XYPolygonAnnotationTests,testEquals,()V,114,119,4036,4321,,,,,,,,,
8036,17765,tests,org.jfree.chart.axis.junit,SegmentedTimelineTests,fillInBaseTimelineExceptions,(QSegmentedTimeline;[QString;QFormat;)V,930,937,37397,37764,,,,2.0,,,Clones are within the same file,,
8037,17765,tests,org.jfree.chart.axis.junit,SegmentedTimelineTests,fillInBaseTimelineExclusionsAsExceptions,(QSegmentedTimeline;JJ)V,966,973,38720,39114,,,,,,,,,
8710,18746,tests,org.jfree.data.statistics.junit,HistogramDatasetTests,testAddSeries,()V,188,199,6301,6850,,,,2.0,,,Clones are within the same file,,
8711,18746,tests,org.jfree.data.statistics.junit,HistogramDatasetTests,test1553088,()V,246,257,8847,9387,,,,,,,,,
9061,19539,tests,org.jfree.data.xy.junit,DefaultOHLCDatasetTests,testDataRange,()V,94,95,2988,3134,,,,2.0,,,Clones are within the same method,,
9062,19539,tests,org.jfree.data.xy.junit,DefaultOHLCDatasetTests,testDataRange,()V,93,94,2910,3056,,,,,,,,,
9064,19540,tests,org.jfree.chart.axis.junit,PeriodAxisTests,testCloning,()V,220,223,6961,7177,,,,,,,,,
9085,19553,tests,org.jfree.data.time.junit,TimeSeriesCollectionTests,testGetSurroundingItems,()V,170,183,5352,5853,,,,2.0,,,Clones are within the same method,,
9086,19553,tests,org.jfree.data.time.junit,TimeSeriesCollectionTests,testGetSurroundingItems,()V,189,202,6077,6577,,,,,,,,,
9314,20079,tests,org.jfree.chart.axis.junit,SegmentedTimelineTests,verifyOneSegment,(QSegmentedTimeline;)V,417,423,17213,17477,,,,2.0,Subclone,20081.0,Clones are within the same method,,
9315,20079,tests,org.jfree.chart.axis.junit,SegmentedTimelineTests,verifyOneSegment,(QSegmentedTimeline;)V,426,432,17608,17858,,,,,,,,,
9316,20080,tests,org.jfree.chart.axis.junit,SegmentedTimelineTests,verifyOneSegment,(QSegmentedTimeline;)V,417,426,17213,17606,,,,2.0,,,Clones are within the same method,,
9317,20080,tests,org.jfree.chart.axis.junit,SegmentedTimelineTests,verifyOneSegment,(QSegmentedTimeline;)V,423,432,17479,17858,,,,,,,,,
9318,20081,tests,org.jfree.chart.axis.junit,SegmentedTimelineTests,verifyOneSegment,(QSegmentedTimeline;)V,420,432,17347,17858,,,,2.0,,,Clones are within the same method,,
9319,20081,tests,org.jfree.chart.axis.junit,SegmentedTimelineTests,verifyOneSegment,(QSegmentedTimeline;)V,417,429,17213,17733,,,,,,,,,
9490,20667,tests,org.jfree.data.xy.junit,DefaultWindDatasetTests,createSampleDataset1,()QDefaultWindDataset;,228,232,6982,7217,,,,2.0,,,Clones are within the same method,,
9491,20667,tests,org.jfree.data.xy.junit,DefaultWindDatasetTests,createSampleDataset1,()QDefaultWindDataset;,224,228,6763,6989,,,,,,,,,
9492,20676,tests,org.jfree.data.category.junit,DefaultIntervalCategoryDatasetTests,testGetRowKeys,()V,462,469,16263,16564,,,,2.0,,,Clones are within the same file,,
9493,20676,tests,org.jfree.data.category.junit,DefaultIntervalCategoryDatasetTests,testGetColumnKeys,()V,450,457,15874,16181,,,,,,,,,
9543,20793,tests,org.jfree.chart.annotations.junit,XYPolygonAnnotationTests,testEquals,()V,98,103,3232,3557,,,,2.0,,,Clones are within the same method,,
9544,20793,tests,org.jfree.chart.annotations.junit,XYPolygonAnnotationTests,testEquals,()V,105,110,3568,3893,,,,,,,,,
9545,20794,tests,org.jfree.chart.annotations.junit,XYPolygonAnnotationTests,testEquals,()V,90,95,2826,3186,,,,2.0,,,Clones are within the same file,,
9546,20794,tests,org.jfree.chart.annotations.junit,XYPolygonAnnotationTests,testHashCode,()V,139,144,5137,5495,,,,,,,,,
9612,20928,tests,org.jfree.data.category.junit,DefaultIntervalCategoryDatasetTests,testSetCategoryKeys,()V,432,445,15363,15793,,,,2.0,Subclone,20822.0,Clones are within the same file,,
9613,20928,tests,org.jfree.data.category.junit,DefaultIntervalCategoryDatasetTests,testSetSeriesKeys,()V,392,405,14112,14538,,,,,,,,,
9633,20972,tests,org.jfree.chart.axis.junit,SegmentedTimelineTests,verifyFillInExceptions,(QSegmentedTimeline;[QString;QFormat;)[J,872,879,34962,35257,,,,2.0,,,Clones are within the same file,,
9634,20972,tests,org.jfree.chart.axis.junit,SegmentedTimelineTests,fillInBaseTimelineExceptions,(QSegmentedTimeline;[QString;QFormat;)V,917,924,36844,37139,,,,,,,,,
9707,21207,tests,org.jfree.data.xy.junit,DefaultHighLowDatasetTests,testEquals,()V,98,102,3304,3521,,,,2.0,,,Clones are within the same method,,
9708,21207,tests,org.jfree.data.xy.junit,DefaultHighLowDatasetTests,testEquals,()V,93,98,3096,3314,,,,,,,,,
9810,21431,tests,org.jfree.data.xy.junit,DefaultIntervalXYDatasetTests,createSampleDataset1,()QDefaultIntervalXYDataset;,391,413,12754,13850,,,,2.0,,,Clones are in different files,,
9811,21431,tests,org.jfree.chart.renderer.xy.junit,ClusteredXYBarRendererTests,createSampleDataset1,()QDefaultIntervalXYDataset;,197,219,6362,7458,,,,,,,,,
9821,21443,tests,org.jfree.data.xy.junit,XYBarDatasetTests,testCloning,()V,107,114,3390,3724,,,,2.0,,,Clones are within the same file,,
9822,21443,tests,org.jfree.data.xy.junit,XYBarDatasetTests,testSerialization,()V,150,157,4973,5307,,,,,,,,,
9823,21444,tests,org.jfree.data.xy.junit,DefaultHighLowDatasetTests,testEquals,()V,108,111,3775,3985,,,,2.0,,,Clones are within the same method,,
9824,21444,tests,org.jfree.data.xy.junit,DefaultHighLowDatasetTests,testEquals,()V,104,107,3551,3762,,,,,,,,,
9825,21459,tests,org.jfree.data.xy.junit,DefaultHighLowDatasetTests,testEquals,()V,113,116,3999,4215,,,,2.0,,,Clones are within the same method,,
9826,21459,tests,org.jfree.data.xy.junit,DefaultHighLowDatasetTests,testEquals,()V,117,120,4228,4443,,,,,,,,,
9827,21465,tests,org.jfree.chart.plot.junit,PlotTests,testEquals,()V,184,189,6356,6681,,,,2.0,,,Clones are within the same method,,
9828,21465,tests,org.jfree.chart.plot.junit,PlotTests,testEquals,()V,190,195,6696,7020,,,,,,,,,
9832,21472,tests,org.jfree.data.xy.junit,DefaultXYZDatasetTests,testCloning,()V,120,126,3820,4104,,,,2.0,,,Clones are within the same file,,
9833,21472,tests,org.jfree.data.xy.junit,DefaultXYZDatasetTests,testEquals,()V,90,95,2791,3029,,,,,,,,,
9834,21473,tests,org.jfree.data.xy.junit,DefaultHighLowDatasetTests,testEquals,()V,127,131,4707,4943,,,,2.0,,,Clones are within the same method,,
9835,21473,tests,org.jfree.data.xy.junit,DefaultHighLowDatasetTests,testEquals,()V,122,126,4457,4694,,,,,,,,,
9838,21487,tests,org.jfree.data.category.junit,DefaultIntervalCategoryDatasetTests,testSetEndValue,()V,313,343,11463,12578,,,,2.0,,,Clones are within the same file,,
9839,21487,tests,org.jfree.data.category.junit,DefaultIntervalCategoryDatasetTests,testSetStartValue,()V,278,308,10250,11375,,,,,,,,,
9840,21490,tests,org.jfree.data.xy.junit,DefaultHighLowDatasetTests,testCloning,()V,172,177,6606,6901,,,,2.0,,,Clones are within the same file,,
9841,21490,tests,org.jfree.data.xy.junit,DefaultHighLowDatasetTests,testSerialization,()V,202,208,7684,7980,,,,,,,,,
9846,21499,tests,org.jfree.data.xy.junit,DefaultHighLowDatasetTests,testEquals,()V,138,142,5212,5453,,,,2.0,,,Clones are within the same method,,
9847,21499,tests,org.jfree.data.xy.junit,DefaultHighLowDatasetTests,testEquals,()V,133,137,4957,5199,,,,,,,,,
9858,21508,tests,org.jfree.data.xy.junit,DefaultXYDatasetTests,testCloning,()V,121,133,3791,4251,,,,2.0,,,Clones are in different files,,
9859,21508,tests,org.jfree.data.xy.junit,DefaultXYZDatasetTests,testCloning,()V,124,136,3954,4419,,,,,,,,,
9860,21510,tests,org.jfree.chart.renderer.xy.junit,XYBubbleRendererTests,testGetLegendItemSeriesIndex,()V,174,181,5632,5866,,,,2.0,,,Clones are within the same method,,
9861,21510,tests,org.jfree.chart.renderer.xy.junit,XYBubbleRendererTests,testGetLegendItemSeriesIndex,()V,191,198,6226,6462,,,,,,,,,
9866,21524,tests,org.jfree.data.xy.junit,DefaultHighLowDatasetTests,testEquals,()V,149,153,5727,5973,,,,2.0,,,Clones are within the same method,,
9867,21524,tests,org.jfree.data.xy.junit,DefaultHighLowDatasetTests,testEquals,()V,144,148,5467,5714,,,,,,,,,
9871,21531,tests,org.jfree.data.xy.junit,DefaultHighLowDatasetTests,testEquals,()V,155,159,5987,6240,,,,2.0,,,Clones are within the same method,,
9872,21531,tests,org.jfree.data.xy.junit,DefaultHighLowDatasetTests,testEquals,()V,160,164,6253,6505,,,,,,,,,
